,rank,institution,funding,year
15,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,11268770,2023
16,0,YALE UNIVERSITY,11182082,2023
17,0,JOHNS HOPKINS UNIVERSITY,10778923,2023
18,0,CORNELL UNIVERSITY WEILL MEDICAL COLLEGE,10730506,2023
19,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,10271489,2023
20,0,UNIVERSITY OF ROCHESTER,9909483,2023
21,0,VANDERBILT UNIVERSITY,8642574,2023
22,0,UNIVERSITY OF MARYLAND BALTIMORE,8484077,2023
23,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,8243138,2023
24,0,BAYLOR COLLEGE OF MEDICINE,8213523,2023
25,0,UNIVERSITY OF CALIFORNIA DAVIS,8167797,2023
26,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,8020011,2023
27,0,UNIVERSITY OF ALABAMA BIRMINGHAM,7960003,2023
28,0,EMORY UNIVERSITY,7462831,2023
29,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,6849551,2023
30,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",6243307,2023
31,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,6084814,2023
32,0,UNIVERSITY OF VIRGINIA,5954875,2023
33,0,UNIVERSITY OF LOUISVILLE,5702379,2023
34,0,UNIVERSITY OF KENTUCKY,5467990,2023
35,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,5333545,2023
36,0,UNIVERSITY OF ARIZONA,4965150,2023
37,0,UNIVERSITY OF SOUTHERN CALIFORNIA,4870793,2023
38,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,4857057,2023
39,0,PENNSYLVANIA STATE UNIV MED CTR HERSHEY,4765505,2023
40,0,UNIVERSITY OF UTAH,4494329,2023
41,0,UNIVERSITY OF CHICAGO,4082139,2023
42,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,3386453,2023
43,0,VIRGINIA COMMONWEALTH UNIVERSITY,3372710,2023
44,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER COM,3226307,2023
45,0,WAKE FOREST UNIVERSITY HLTH SCIS,3212048,2023
46,0,MEDICAL COLLEGE OF WISCONSIN,3103575,2023
47,0,UNIVERSITY OF CALIFORNIA IRVINE,3080200,2023
48,0,UNIVERSITY OF MISSOURI COLUMBIA,2924278,2023
49,0,UNIVERSITY OF WASHINGTON SEATTLE,2674784,2023
50,0,UNIVERSITY OF SOUTH FLORIDA,2202693,2023
51,0,UNIVERSITY OF OKLAHOMA HLTH SCIS CTR,1992729,2023
52,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,1889826,2023
53,0,EAST TENNESSEE STATE UNIVERSITY,1661585,2023
54,0,LOYOLA UNIVERSITY CHICAGO,1618708,2023
55,0,UNIVERSITY OF VERMONT,1569451,2023
56,0,BOSTON UNIVERSITY MEDICAL CAMPUS,1293527,2023
57,0,UNIVERSITY OF TEXAS MED BR GALVESTON,1012928,2023
58,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,986855,2023
59,0,UNIVERSITY OF ILLINOIS CHICAGO,971318,2023
60,0,OREGON HEALTH & SCIENCE UNIVERSITY,789120,2023
61,0,UNIVERSITY OF IOWA,678593,2023
62,0,STATE UNIVERSITY OF NEW YORK BUFFALO,644828,2023
63,0,BROWN UNIVERSITY,607476,2023
64,0,HARVARD MEDICAL SCHOOL,555950,2023
65,0,TULANE UNIVERSITY OF LOUISIANA,529610,2023
66,0,UNIVERSITY OF CINCINNATI,523215,2023
67,0,UNIVERSITY OF NEVADA RENO,476374,2023
68,0,ALBANY MEDICAL COLLEGE,466249,2023
69,0,THOMAS JEFFERSON UNIVERSITY,446321,2023
70,0,UNIVERSITY OF NEW MEXICO HLTH SCIS CTR,378750,2023
71,0,GEORGETOWN UNIVERSITY,353959,2023
72,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,307014,2023
73,0,UNIVERSITY OF MISSISSIPPI MED CTR,268394,2023
74,0,TEMPLE UNIVERSITY,220778,2023
75,0,SUNY UPSTATE MEDICAL CENTER,203750,2023
76,0,UNIVERSITY OF MASSACHUSETTS MED SCH WORCESTER,163058,2023
77,0,UNIVERSITY OF SOUTH ALABAMA,161950,2023
78,0,,,2023
79,0,GRAND TOTAL,538427663,2023
80,0,,,2023
81,0,MEAN,6992567.051948052,2023
82,0,Created 5 February 2024 revised 7 February 2024,,2023
83,0,MEDIAN,4765505,2023
1,0,UNIVERSITY OF MICHIGAN AT ANN ARBOR,26145958,2019
2,0,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,21588318,2019
3,0,DUKE UNIVERSITY,20474161,2019
4,0,WASHINGTON UNIVERSITY,19057632,2019
5,0,OHIO STATE UNIVERSITY,15541916,2019
6,0,EMORY UNIVERSITY,13764735,2019
7,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,13233433,2019
8,0,UNIVERSITY OF WISCONSIN-MADISON,13133940,2019
9,0,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",12832005,2019
10,0,NORTHWESTERN UNIVERSITY AT CHICAGO,11847594,2019
11,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,10460575,2019
12,0,STANFORD UNIVERSITY,9996583,2019
13,0,UNIVERSITY OF CALIFORNIA AT DAVIS,9917168,2019
14,0,JOHNS HOPKINS UNIVERSITY,9815724,2019
15,0,UNIVERSITY OF PENNSYLVANIA,9054183,2019
16,0,VANDERBILT UNIVERSITY,8910053,2019
17,0,UNIVERSITY OF ROCHESTER,8423760,2019
18,0,UNIVERSITY OF MARYLAND BALTIMORE,8052916,2019
19,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,7254281,2019
20,0,UNIVERSITY OF COLORADO DENVER,6828716,2019
21,0,UNIVERSITY OF KENTUCKY,6668351,2019
22,0,UNIVERSITY OF ALABAMA AT BIRMINGHAM,6279195,2019
23,0,CASE WESTERN RESERVE UNIV/CLEVELAND CLINIC LERNER COM,6235931,2019
24,0,UNIVERSITY OF VIRGINIA,5949101,2019
25,0,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,5857801,2019
26,0,UNIVERSITY OF UTAH,5308229,2019
27,0,UNIVERSITY OF NEBRASKA MEDICAL CENTER,5046138,2019
28,0,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",4789801,2019
29,0,UNIVERSITY OF CHICAGO,4664733,2019
30,0,UNIVERSITY OF MISSOURI-COLUMBIA,4281341,2019
31,0,UNIVERSITY OF FLORIDA,4164792,2019
32,0,UNIV OF NORTH CAROLINA CHAPEL HILL,4093767,2019
33,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,4042679,2019
34,0,WAKE FOREST UNIVERSITY HEALTH SCIENCES,3819525,2019
35,0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,3724483,2019
36,0,YALE UNIVERSITY,3645187,2019
37,0,UNIVERSITY OF MINNESOTA,3578779,2019
38,0,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,3444361,2019
39,0,UNIVERSITY OF IOWA,3236213,2019
40,0,WEILL MEDICAL COLL OF CORNELL UNIV,3165419,2019
41,0,BAYLOR COLLEGE OF MEDICINE,3123436,2019
42,0,UNIVERSITY OF SOUTHERN CALIFORNIA,2768635,2019
43,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,2358718,2019
44,0,UNIVERSITY OF WASHINGTON,2339905,2019
45,0,LOYOLA UNIVERSITY CHICAGO,1842324,2019
46,0,UNIVERSITY OF TEXAS MED BR GALVESTON,1755262,2019
47,0,EAST TENNESSEE STATE UNIVERSITY,1688645,2019
48,0,ALBERT EINSTEIN COLLEGE OF MEDICINE,1611928,2019
49,0,UNIVERSITY OF ILLINOIS AT CHICAGO,1596832,2019
50,0,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,1584139,2019
51,0,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,1514979,2019
52,0,GEORGE WASHINGTON UNIVERSITY,1510145,2019
53,0,UNIVERSITY OF CINCINNATI,1339127,2019
54,0,MEDICAL COLLEGE OF WISCONSIN,1272789,2019
55,0,UNIVERSITY OF ARIZONA,1164510,2019
56,0,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,1150289,2019
57,0,UPSTATE MEDICAL UNIVERSITY,1087411,2019
58,0,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,978259,2019
59,0,ALBANY MEDICAL COLLEGE,885153,2019
60,0,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,878864,2019
61,0,HARVARD MEDICAL SCHOOL,845525,2019
62,0,UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANTONIO,758859,2019
63,0,GEORGETOWN UNIVERSITY,685012,2019
64,0,UNIVERSITY OF SOUTH FLORIDA,643258,2019
65,0,RUTGERS BIOMEDICAL AND HEALTH SCIENCES,583925,2019
66,0,SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,556933,2019
67,0,UNIVERSITY OF CALIFORNIA-IRVINE,531907,2019
68,0,BOSTON UNIVERSITY MEDICAL CAMPUS,428383,2019
69,0,STATE UNIVERSITY NEW YORK STONY BROOK,399547,2019
70,0,THOMAS JEFFERSON UNIVERSITY,374389,2019
71,0,UNIVERSITY OF KANSAS MEDICAL CENTER,373069,2019
72,0,VIRGINIA COMMONWEALTH UNIVERSITY,337479,2019
73,0,UNIVERSITY OF MISSISSIPPI MED CTR,249000,2019
74,0,UNIVERSITY OF SOUTH ALABAMA,189000,2019
75,0,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,157734,2019
76,0,,,2019
77,0,GRAND TOTAL,387894847,2019
78,0,,,2019
79,0,MEAN,5171931.293333333,2019
80,0,Created 3 February 2020; revised 15 Feb 2020.,,2019
81,0,MEDIAN,3444361,2019
1,0,DUKE UNIVERSITY,44987067,2022
2,0,UNIVERSITY OF MICHIGAN ANN ARBOR,28593123,2022
3,0,WASHINGTON UNIVERSITY ST LOUIS,28448607,2022
4,0,UNIVERSITY OF FLORIDA,21073685,2022
5,0,UNIVERSITY OF PENNSYLVANIA,21002526,2022
6,0,UNIVERSITY OF PITTSBURGH,17889737,2022
7,0,UNIVERSITY OF WISCONSIN MADISON,17610781,2022
8,0,OHIO STATE UNIVERSITY,17225409,2022
9,0,COLUMBIA UNIVERSITY HEALTH SCIENCES,16059288,2022
10,0,UNIVERSITY OF ALABAMA BIRMINGHAM,13728161,2022
11,0,STANFORD UNIVERSITY,12408668,2022
12,0,NORTHWESTERN UNIVERSITY CHICAGO,11864355,2022
13,0,UNIVERSITY OF MINNESOTA,11817446,2022
14,0,JOHNS HOPKINS UNIVERSITY,11667474,2022
15,0,UNIVERSITY OF COLORADO DENVER,11507842,2022
16,0,UNIVERSITY OF CALIFORNIA LOS ANGELES,11251393,2022
17,0,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,10878001,2022
18,0,UNIVERSITY OF ROCHESTER,9451273,2022
19,0,EMORY UNIVERSITY,9411295,2022
20,0,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,9367680,2022
21,0,UNIVERSITY OF MARYLAND BALTIMORE,9090450,2022
22,0,VANDERBILT UNIVERSITY,8258063,2022
23,0,UNIVERSITY OF UTAH,8245306,2022
24,0,UNIVERSITY OF CALIFORNIA SAN DIEGO,8134037,2022
25,0,UNIVERSITY OF CHICAGO,7543361,2022
26,0,CORNELL UNIVERSITY WEILL MEDICAL COLLEGE,7450111,2022
27,0,UNIVERSITY OF CALIFORNIA DAVIS,7343475,2022
28,0,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,7007581,2022
29,0,INDIANA UNIV-PURDUE UNIV INDIANAPOLIS,7005922,2022
30,0,UNIVERSITY OF VIRGINIA,6484885,2022
31,0,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",5984708,2022
32,0,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,5533212,2022
33,0,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,5120426,2022
34,0,BAYLOR COLLEGE OF MEDICINE,4876869,2022
35,0,UNIVERSITY OF LOUISVILLE,4598099,2022
36,0,UNIVERSITY OF KENTUCKY,4548529,2022
